"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NW Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)"
US48,"8/13/2022 7 p.m. EDT",42642,32747,48332,40019,100998,94049,50000,32717,20001
US48,"8/13/2022 8 p.m. EDT",44727,31017,47547,38289,97431,92288,50650,31882,20210
US48,"8/13/2022 9 p.m. EDT",45977,29240,45919,36926,94822,89589,50397,30654,20024
US48,"8/13/2022 10 p.m. EDT",47085,27545,43905,35021,91868,87735,49342,29461,19403
US48,"8/13/2022 11 p.m. EDT",47210,25327,42138,32698,87449,84457,47643,27661,18767
US48,"8/14/2022 12 a.m. EDT",45605,23170,39852,30695,82760,80548,46036,25684,17972
US48,"8/14/2022 1 a.m. EDT",43683,21304,37473,27979,79160,76598,44036,23873,16863
US48,"8/14/2022 2 a.m. EDT",41401,20065,35295,26192,76454,72963,41247,22743,15620
US48,"8/14/2022 3 a.m. EDT",38525,19240,33620,24692,74862,70356,38822,21527,14490
US48,"8/14/2022 4 a.m. EDT",35799,18509,32329,23739,73276,68544,36711,20807,13692
US48,"8/14/2022 5 a.m. EDT",33773,18443,31266,23200,72290,66918,35279,20771,13071
US48,"8/14/2022 6 a.m. EDT",31863,18484,30452,22898,72329,66131,34284,20415,12578
US48,"8/14/2022 7 a.m. EDT",30288,18664,30072,23072,72798,66376,33711,20527,12191
US48,"8/14/2022 8 a.m. EDT",29486,19152,29789,23760,74302,66636,33552,20605,11978
US48,"8/14/2022 9 a.m. EDT",28760,20861,30075,26933,77764,68261,33648,21099,11849
US48,"8/14/2022 10 a.m. EDT",28456,22800,31972,30836,80878,71813,34200,22766,11845
US48,"8/14/2022 11 a.m. EDT",28384,24400,34476,34315,82852,75871,35704,24834,12251
US48,"8/14/2022 12 p.m. EDT",29885,26311,37035,37434,86590,79702,37550,27176,12911
US48,"8/14/2022 1 p.m. EDT",31058,28365,39762,39879,90104,83535,39932,29211,13695
US48,"8/14/2022 2 p.m. EDT",31674,30189,42275,41134,92838,87013,42345,31049,14379
US48,"8/14/2022 3 p.m. EDT",32915,31798,44445,41367,94984,89710,44337,32116,15246
US48,"8/14/2022 4 p.m. EDT",34322,32801,46032,40537,96426,91773,46382,33727,16146
US48,"8/14/2022 5 p.m. EDT",32829,33228,47200,39900,97724,93410,48208,34442,17124
US48,"8/14/2022 6 p.m. EDT",35088,33294,47938,39307,98755,95118,49487,35088,18146
US48,"8/14/2022 7 p.m. EDT",37906,32553,48203,38497,97889,96068,50325,34884,19156
US48,"8/14/2022 8 p.m. EDT",40063,31363,47617,37376,96082,95443,51270,34216,19560
US48,"8/14/2022 9 p.m. EDT",41832,30459,46028,36715,94993,93291,51530,32884,18424
US48,"8/14/2022 10 p.m. EDT",43673,29017,44195,34943,92446,91713,50711,31676,17222
US48,"8/14/2022 11 p.m. EDT",44124,26857,42415,32189,87623,88113,49489,29183,16604
US48,"8/15/2022 12 a.m. EDT",42912,24584,39672,29499,83772,83553,47681,26898,15790
US48,"8/15/2022 1 a.m. EDT",41067,22891,36986,26480,81501,78953,44944,25241,14904
US48,"8/15/2022 2 a.m. EDT",38702,21610,34801,24774,79381,75286,41372,23969,13950
US48,"8/15/2022 3 a.m. EDT",35749,20849,33165,23658,77339,72666,38534,22824,13009
US48,"8/15/2022 4 a.m. EDT",35565,20332,32006,23051,76389,71077,36428,22248,12473
US48,"8/15/2022 5 a.m. EDT",33268,20291,31383,23031,77074,70582,35044,22168,12108
US48,"8/15/2022 6 a.m. EDT",31536,21153,31170,23918,79669,71871,34283,22881,11791
US48,"8/15/2022 7 a.m. EDT",30594,22597,31783,25510,84327,75562,34082,24362,11669
US48,"8/15/2022 8 a.m. EDT",30189,23489,32966,26570,88408,79612,34816,25401,11821
US48,"8/15/2022 9 a.m. EDT",30080,24576,34021,28713,90431,82850,36289,26406,12244
US48,"8/15/2022 10 a.m. EDT",30744,25904,35772,31462,92495,86472,38167,28351,12725
US48,"8/15/2022 11 a.m. EDT",32549,27677,37946,34511,95773,90470,40213,30881,13336
US48,"8/15/2022 12 p.m. EDT",34466,29712,40461,37495,99247,94813,42111,33577,13841
US48,"8/15/2022 1 p.m. EDT",36492,29717,42856,40011,102738,98839,43977,36103,14618
US48,"8/15/2022 2 p.m. EDT",37601,33205,45076,41907,105716,102324,45959,38222,15442
US48,"8/15/2022 3 p.m. EDT",38858,34395,46799,43231,107464,105350,48019,39600,16481
US48,"8/15/2022 4 p.m. EDT",40641,35241,47981,44142,108560,107039,50355,40798,17486
US48,"8/15/2022 5 p.m. EDT",43198,35300,48737,44232,109566,108231,52404,41251,18404
US48,"8/15/2022 6 p.m. EDT",45717,34825,48948,43897,109736,108501,53390,40817,19141
US48,"8/15/2022 7 p.m. EDT",48438,33661,48520,42937,107754,107574,54041,39949,19705
US48,"8/15/2022 8 p.m. EDT",50954,32344,47576,41143,104305,105403,54615,38429,20202
US48,"8/15/2022 9 p.m. EDT",52397,31462,45987,39705,101845,102285,54433,36768,20373
US48,"8/15/2022 10 p.m. EDT",53103,29832,44264,37484,98212,99779,53654,34844,19935
US48,"8/15/2022 11 p.m. EDT",52286,27559,42422,34473,93162,94779,50217,32114,14356
US48,"8/16/2022 12 a.m. EDT",50332,25292,39768,31364,89067,88583,50279,32114,13615
