"Date","Price","Open","High","Low","Vol.","Change %"
"2022-09-23","7.1284","7.0781","7.1298","7.0780","","0.71%"
"2022-09-22","7.0781","7.0490","7.0956","7.0488","","0.43%"
"2022-09-21","7.0479","7.0183","7.0546","7.0183","","0.43%"
"2022-09-20","7.0176","7.0100","7.0214","7.0044","","0.18%"
"2022-09-19","7.0050","6.9957","7.0206","6.9956","","0.36%"
"2022-09-16","6.9799","7.0055","7.0256","6.9799","","-0.19%"
"2022-09-15","6.9934","6.9645","6.9963","6.9606","","0.46%"
"2022-09-14","6.9612","6.9671","6.9734","6.9569","","0.53%"
"2022-09-13","6.9245","6.9209","6.9329","6.9191","","-0.03%"
"2022-09-12","6.9265","6.9265","6.9265","6.9265","","0.04%"
"2022-09-09","6.9240","6.9468","6.9514","6.9172","","-0.46%"
"2022-09-08","6.9562","6.9563","6.9704","6.9489","","-0.13%"
"2022-09-07","6.9650","6.9658","6.9801","6.9640","","0.17%"
"2022-09-06","6.9532","6.9341","6.9657","6.9300","","0.29%"
"2022-09-05","6.9328","6.9229","6.9433","6.9188","","0.50%"
"2022-09-02","6.8985","6.9062","6.9095","6.8998","","-0.12%"
"2022-09-01","6.9066","6.9065","6.9082","6.8934","","0.26%"
"2022-08-31","6.8890","6.9088","6.9152","6.8870","","-0.30%"
"2022-08-30","6.9100","6.9095","6.9213","6.8991","","0.05%"
"2022-08-29","6.9067","6.9091","6.9225","6.9044","","0.51%"
"2022-08-26","6.8715","6.8474","6.8731","6.8474","","0.35%"
"2022-08-25","6.8477","6.8453","6.8572","6.8426","","-0.15%"
"2022-08-24","6.8581","6.8440","6.8696","6.8424","","0.36%"
"2022-08-23","6.8336","6.8461","6.8662","6.8326","","-0.20%"
"2022-08-22","6.8476","6.8238","6.8511","6.8211","","0.46%"
"2022-08-19","6.8164","6.7861","6.8190","6.7861","","0.46%"
"2022-08-18","6.7855","6.7810","6.7961","6.7769","","0.07%"
"2022-08-17","6.7805","6.7882","6.7882","6.7688","","-0.10%"
"2022-08-16","6.7875","6.7892","6.7974","6.7825","","0.24%"
"2022-08-15","6.7715","6.7428","6.7748","6.7428","","0.43%"
"2022-08-12","6.7425","6.7448","6.7466","6.7325","","-0.03%"
"2022-08-11","6.7445","6.7238","6.7448","6.7238","","0.32%"
"2022-08-10","6.7230","6.7526","6.7600","6.7230","","-0.44%"
"2022-08-09","6.7525","6.7506","6.7583","6.7506","","0.03%"
